Country/Region,Confirmed,Deaths,Recovered,Active,CFR,WHO Region,Recovery_Rate,Active_Rate,IMR,First_Case_Date,Days_from_start,Epidemic_Size
Afghanistan,36263,1269,25198,9796,3.499434685492099,Eastern Mediterranean,69.4868,27.0138,5.0361,2020-02-24,33,Alto (Q3)
Albania,4880,144,2745,1991,2.9508196721311477,Europe,56.25,40.7992,5.2459,2020-03-09,47,Moderado (Q2)
Algeria,27973,1163,18837,7973,4.1575805240767885,Africa,67.3399,28.5025,6.174,2020-02-25,34,Alto (Q3)
Andorra,907,52,803,52,5.733186328555679,Europe,88.5336,5.7332,6.4757,2020-03-02,40,Bajo (Q1)
Angola,950,41,242,667,4.315789473684211,Africa,25.4737,70.2105,16.9421,2020-03-20,58,Bajo (Q1)
Argentina,167416,3059,72575,91782,1.827184976346347,Americas,43.3501,54.8227,4.215,2020-03-03,41,Crítico (Q4)
Armenia,37390,711,26665,10014,1.901577962021931,Europe,71.3159,26.7826,2.6664,2020-03-01,39,Alto (Q3)
Australia,15303,167,9311,5825,1.0912892896817616,Western Pacific,60.8443,38.0644,1.7936,2020-01-26,4,Alto (Q3)
Austria,20558,713,18246,1599,3.46823620974803,Europe,88.7538,7.778,3.9077,2020-02-25,34,Alto (Q3)
Azerbaijan,30446,423,23242,6781,1.389345069959929,Europe,76.3384,22.2722,1.82,2020-03-01,39,Alto (Q3)
Bahrain,39482,141,36110,3231,0.3571247657160225,Eastern Mediterranean,91.4594,8.1835,0.3905,2020-02-24,33,Alto (Q3)
Bangladesh,226225,2965,125683,97577,1.310642059896121,South-East Asia,55.5566,43.1327,2.3591,2020-03-08,46,Crítico (Q4)
Belarus,67251,538,60492,6221,0.7999881042661077,Europe,89.9496,9.2504,0.8894,2020-02-28,37,Crítico (Q4)
Belgium,66428,9822,17452,39154,14.785933642439936,Europe,26.2721,58.942,56.2801,2020-02-04,13,Crítico (Q4)
Benin,1770,35,1036,699,1.977401129943503,Africa,58.5311,39.4915,3.3784,2020-03-16,54,Bajo (Q1)
Bolivia,71181,2647,21478,47056,3.718688975990784,Americas,30.1738,66.1075,12.3242,2020-03-11,49,Crítico (Q4)
Bosnia and Herzegovina,10498,294,4930,5274,2.8005334349399886,Europe,46.9613,50.2381,5.9635,2020-03-05,43,Moderado (Q2)
Botswana,739,2,63,674,0.2706359945872801,Africa,8.525,91.2043,3.1746,2020-03-30,68,Bajo (Q1)
